actual,predicted,residuals,abs_error,datetime
0.570678879722964,0.6015700348266777,-0.030891155103713652,0.030891155103713652,2021-09-04 21:00:00
0.5731535415918246,0.6025441572390393,-0.02939061564721468,0.02939061564721468,2021-09-04 22:00:00
0.5869516562545658,0.6138920501465304,-0.026940393891964565,0.026940393891964565,2021-09-04 23:00:00
0.6087736745527047,0.6714686655151147,-0.06269499096241005,0.06269499096241005,2021-09-05 00:00:00
0.5697790026797418,0.6319692394860603,-0.06219023680631852,0.06219023680631852,2021-09-05 01:00:00
0.2689951009827099,0.3372468228714767,-0.06825172188876683,0.06825172188876683,2021-09-05 02:00:00
0.1540358087110692,0.2262343058616078,-0.07219849715053861,0.07219849715053861,2021-09-05 03:00:00
0.111516618418819,0.18289323915640285,-0.07137662073758384,0.07137662073758384,2021-09-05 04:00:00
0.091044415685513,0.16000679904201065,-0.06896238335649765,0.06896238335649765,2021-09-05 05:00:00
0.0153797543012433,0.08341525824008503,-0.06803550393884172,0.06803550393884172,2021-09-05 06:00:00
-0.0249647331365534,0.04486936909141456,-0.06983410222796796,0.06983410222796796,2021-09-05 07:00:00
-0.0381629297704794,0.03129724422582489,-0.06946017399630429,0.06946017399630429,2021-09-05 08:00:00
-0.0566104091565346,0.01368372363414122,-0.07029413279067581,0.07029413279067581,2021-09-05 09:00:00
-0.035688267901618,0.033379418111653764,-0.06906768601327176,0.06906768601327176,2021-09-05 10:00:00
0.0202540882853644,0.08539136834837929,-0.06513728006301489,0.06513728006301489,2021-09-05 11:00:00
0.197679845307348,0.24927231157963392,-0.05159246627228592,0.05159246627228592,2021-09-05 12:00:00
0.5543311134377596,0.5879327769911922,-0.033601663553432526,0.033601663553432526,2021-09-05 13:00:00
0.5583055703786585,0.5911715478405724,-0.03286597746191389,0.03286597746191389,2021-09-05 14:00:00
0.5499067179752509,0.5847362340779556,-0.03482951610270468,0.03482951610270468,2021-09-05 15:00:00
0.5339339004580563,0.5700040001585891,-0.036070099700532765,0.036070099700532765,2021-09-05 16:00:00
0.5170612058976394,0.5535433895807236,-0.0364821836830842,0.0364821836830842,2021-09-05 17:00:00
0.4996635830620092,0.547542160087102,-0.047878577025092794,0.047878577025092794,2021-09-05 18:00:00
0.4787414418070925,0.5282504112576751,-0.04950896945058264,0.04950896945058264,2021-09-05 19:00:00
0.4495704276559719,0.5002931666236428,-0.05072273896767088,0.05072273896767088,2021-09-05 20:00:00
0.4298481224586837,0.4795832816336368,-0.04973515917495308,0.04973515917495308,2021-09-05 21:00:00
0.4287232761546561,0.47685946381341704,-0.04813618765876093,0.04813618765876093,2021-09-05 22:00:00
0.4249737884745635,0.4718328495888087,-0.046859061114245204,0.046859061114245204,2021-09-05 23:00:00
0.4362222515148414,0.5261584265312871,-0.08993617501644569,0.08993617501644569,2021-09-06 00:00:00
0.4213742803016744,0.5036354802275562,-0.08226119992588182,0.08226119992588182,2021-09-06 01:00:00
0.1440621714820234,0.2281606114816316,-0.0840984399996082,0.0840984399996082,2021-09-06 02:00:00
0.0784461370804021,0.15923134502921693,-0.08078520794881483,0.08078520794881483,2021-09-06 03:00:00
0.0461255532780031,0.12372229574345836,-0.07759674246545525,0.07759674246545525,2021-09-06 04:00:00
-0.0075671103009232,0.0715518883293896,-0.07911899863031281,0.07911899863031281,2021-09-06 05:00:00
-0.0392127863209053,0.033815608552093174,-0.07302839487299848,0.07302839487299848,2021-09-06 06:00:00
-0.0790323454834887,-0.00418162837375935,-0.07485071710972935,0.07485071710972935,2021-09-06 07:00:00
-0.0649342718063404,0.005844251263362299,-0.0707785230697027,0.0707785230697027,2021-09-06 08:00:00
-0.0605848660974335,0.008439605227220842,-0.06902447132465434,0.06902447132465434,2021-09-06 09:00:00
-0.0421373867113774,0.02587558094755027,-0.06801296765892767,0.06801296765892767,2021-09-06 10:00:00
-0.0087669463585526,0.058752457390424534,-0.06751940374897714,0.06751940374897714,2021-09-06 11:00:00
0.1445121100036341,0.20182171675100707,-0.05730960674737298,0.05730960674737298,2021-09-06 12:00:00
0.4791163905751014,0.5174198832252275,-0.03830349265012606,0.03830349265012606,2021-09-06 13:00:00
0.4674179890132128,0.5067593510240647,-0.039341362010851866,0.039341362010851866,2021-09-06 14:00:00
0.4530949460752583,0.49432426925960565,-0.041229323184347355,0.041229323184347355,2021-09-06 15:00:00
0.4352473847180174,0.47614065841512104,-0.04089327369710366,0.04089327369710366,2021-09-06 16:00:00
0.4163499668103506,0.45773520224629366,-0.04138523543594308,0.04138523543594308,2021-09-06 17:00:00
0.3542584508280166,0.4217946367779091,-0.06753618594989252,0.06753618594989252,2021-09-06 18:00:00
0.3529836250167846,0.41975820961203775,-0.06677458459525315,0.06677458459525315,2021-09-06 19:00:00
0.3393354898612479,0.4051694177671841,-0.06583392790593623,0.06583392790593623,2021-09-06 20:00:00
0.3173634920559045,0.383875172892914,-0.06651168083700953,0.06651168083700953,2021-09-06 21:00:00
0.3249374571696924,0.38943413151956024,-0.06449667434986783,0.06449667434986783,2021-09-06 22:00:00
0.3538085123064051,0.41244311156590424,-0.058634599259499154,0.058634599259499154,2021-09-06 23:00:00
0.400377149293156,0.4903160668414929,-0.08993891754833694,0.08993891754833694,2021-09-07 00:00:00
0.3753305715901369,0.4606340844684497,-0.08530351287831284,0.08530351287831284,2021-09-07 01:00:00
0.0737967723570872,0.16423526188389334,-0.09043848952680614,0.09043848952680614,2021-09-07 02:00:00
0.0167295698660771,0.10175127149494004,-0.08502170162886294,0.08502170162886294,2021-09-07 03:00:00
-0.0335885548007663,0.05062919925223153,-0.08421775405299783,0.08421775405299783,2021-09-07 04:00:00
-0.0930554294070352,-0.0064020147836912344,-0.08665341462334397,0.08665341462334397,2021-09-07 05:00:00
-0.061409753387054,0.010514567075803866,-0.07192432046285786,0.07192432046285786,2021-09-07 06:00:00
-0.0975548146231466,-0.024235440093927446,-0.07331937452921915,0.07331937452921915,2021-09-07 07:00:00
-0.0991295994487857,-0.02768781607447454,-0.07144178337431116,0.07144178337431116,2021-09-07 08:00:00
-0.1102280829818601,-0.038831192820900334,-0.07139689016095976,0.07139689016095976,2021-09-07 09:00:00
