actual,predicted,residuals,abs_error,datetime,zone
1.2614844899032325,1.3387576,-0.07727314425967036,0.07727314425967036,2024-01-02 19:00:00,Western India
1.254285473557454,1.3110677,-0.05678222682859335,0.05678222682859335,2024-01-02 20:00:00,Western India
1.2528606682390184,1.3106855,-0.05782484716472913,0.05782484716472913,2024-01-02 21:00:00,Western India
1.2488862112981205,1.30994,-0.061053769208776476,0.061053769208776476,2024-01-02 22:00:00,Western India
1.2610345513816208,1.3366861,-0.07565158295675811,0.07565158295675811,2024-01-02 23:00:00,Western India
1.2818067131293338,1.3623936,-0.08058690450067107,0.08058690450067107,2024-01-03 00:00:00,Western India
1.2914054015903715,1.3751845,-0.08377913438985307,0.08377913438985307,2024-01-03 01:00:00,Western India
1.29500490976326,1.370851,-0.0758461301232145,0.0758461301232145,2024-01-03 02:00:00,Western India
1.2995042949793711,1.371007,-0.07150267065783589,0.07150267065783589,2024-01-03 03:00:00,Western India
1.3108277477732508,1.3904834,-0.07965563159076283,0.07965563159076283,2024-01-03 04:00:00,Western India
1.3091029834404082,1.3920681,-0.08296516421889355,0.08296516421889355,2024-01-03 05:00:00,Western India
1.236587891707417,1.201038,0.035549888739582425,0.035549888739582425,2024-01-03 06:00:00,Western India
1.1366265501561466,1.0974857,0.03914088864949372,0.03914088864949372,2024-01-03 07:00:00,Western India
1.1214036301749708,1.0788643,0.042539294161176855,0.042539294161176855,2024-01-03 08:00:00,Western India
1.105130853643369,1.0757028,0.029428067197751373,0.029428067197751373,2024-01-03 09:00:00,Western India
1.0899829234157947,1.0657471,0.024235781577720994,0.024235781577720994,2024-01-03 10:00:00,Western India
1.1010064171952665,1.0660522,0.034954218785232305,0.034954218785232305,2024-01-03 11:00:00,Western India
1.22293975655188,1.1810116,0.0419281989728395,0.0419281989728395,2024-01-03 12:00:00,Western India
1.246111590414852,1.2891995,-0.04308788105884176,0.04308788105884176,2024-01-03 13:00:00,Western India
1.2329133937809258,1.1943606,0.03855277995798878,0.03855277995798878,2024-01-03 14:00:00,Western India
1.2185153610893704,1.1843684,0.03414698912586944,0.03414698912586944,2024-01-03 15:00:00,Western India
1.208091785338713,1.1768013,0.03129046144802694,0.03129046144802694,2024-01-03 16:00:00,Western India
1.1972932608200455,1.167214,0.030079224832191498,0.030079224832191498,2024-01-03 17:00:00,Western India
1.2035924001226015,1.182002,0.021590451765973073,0.021590451765973073,2024-01-03 18:00:00,Western India
1.2839064262301862,1.3602879,-0.07638147850919363,0.07638147850919363,2024-01-03 19:00:00,Western India
1.2839064262301862,1.3591456,-0.07523921509671805,0.07523921509671805,2024-01-03 20:00:00,Western India
1.2857061803166308,1.3587635,-0.07305727602797374,0.07305727602797374,2024-01-03 21:00:00,Western India
1.2788071229852598,1.3580179,-0.07921079846249413,0.07921079846249413,2024-01-03 22:00:00,Western India
1.2838314364765846,1.3582164,-0.07438496843827136,0.07438496843827136,2024-01-03 23:00:00,Western India
1.3007791207906032,1.3738213,-0.07304213775431867,0.07304213775431867,2024-01-04 00:00:00,Western India
1.3073782191075662,1.3932924,-0.08591420795542204,0.08591420795542204,2024-01-04 01:00:00,Western India
1.3093279527012145,1.3877338,-0.07840586439931041,0.07840586439931041,2024-01-04 02:00:00,Western India
1.3072282396003618,1.3891742,-0.08194598334580516,0.08194598334580516,2024-01-04 03:00:00,Western India
1.3156270920037694,1.391258,-0.07563090932374528,0.07563090932374528,2024-01-04 04:00:00,Western India
1.3139023276709274,1.3918664,-0.07796411787045443,0.07796411787045443,2024-01-04 05:00:00,Western India
1.2287889573328243,1.1850901,0.04369889233038293,0.04369889233038293,2024-01-04 06:00:00,Western India
1.1280027284919336,1.0821552,0.0458475008308008,0.0458475008308008,2024-01-04 07:00:00,Western India
