actual,predicted,residuals,abs_error,percentage_error
0.8354677,0.79127324,0.04419446,0.04419446,5.289787
0.8326181,0.7904569,0.042161226,0.042161226,5.063693
0.8455913,0.80979156,0.03579974,0.03579974,4.233693
0.8649386,0.8170264,0.04791224,0.04791224,5.5393806
0.9107574,0.83120894,0.07954848,0.07954848,8.734321
0.9514768,0.828964,0.12251282,0.12251282,12.87607
0.8054718,0.665445,0.14002675,0.14002675,17.384438
0.5097122,0.35873735,0.15097487,0.15097487,29.619629
0.4762668,0.3485545,0.12771231,0.12771231,26.815287
0.4334476,0.35146207,0.08198553,0.08198553,18.914751
0.41829973,0.26984423,0.1484555,0.1484555,35.49022
0.37263095,0.25079742,0.12183353,0.12183353,32.69549
0.36280727,0.31002718,0.05278009,0.05278009,14.547693
0.36415714,0.38348758,-0.019330442,0.019330442,5.3082695
0.38665402,0.44526494,-0.058610916,0.058610916,15.158491
0.44237137,0.5836989,-0.14132756,0.14132756,31.94772
0.7337816,0.7713748,-0.037593246,0.037593246,5.12322
0.9224558,0.79537916,0.12707663,0.12707663,13.775905
0.9085827,0.8158306,0.0927521,0.0927521,10.208438
0.93527913,0.85741365,0.07786548,0.07786548,8.325374
0.9016837,0.9061068,-0.0044231415,0.0044231415,0.49054244
0.8748374,0.9109459,-0.036108494,0.036108494,4.1274524
0.8571397,0.88149214,-0.024352431,0.024352431,2.8411274
0.8524153,0.86293304,-0.010517716,0.010517716,1.2338723
0.8335929,0.8544527,-0.020859838,0.020859838,2.502401
0.825794,0.8606219,-0.034827948,0.034827948,4.21751
0.8173952,0.8592049,-0.041809678,0.041809678,5.1149893
0.8368175,0.84786963,-0.011052132,0.011052132,1.3207338
0.8829361,0.85316813,0.02976799,0.02976799,3.3714771
0.89081013,0.8413842,0.04942596,0.04942596,5.548428
0.7500543,0.6198678,0.1301865,0.1301865,17.356943
0.48938996,0.32969886,0.1596911,0.1596911,32.630642
0.44559592,0.32308447,0.12251145,0.12251145,27.493843
0.3897286,0.3224296,0.06729901,0.06729901,17.268171
0.36700672,0.24552953,0.12147719,0.12147719,33.099445
0.32103795,0.2227363,0.09830165,0.09830165,30.619946
0.33731073,0.27303088,0.064279854,0.064279854,19.056568
0.35148382,0.3588562,-0.0073723793,0.0073723793,2.0975018
0.37863016,0.42451465,-0.04588449,0.04588449,12.118551
0.4371221,0.56628066,-0.12915856,0.12915856,29.547478
0.7343065,0.7680439,-0.03373736,0.03373736,4.5944524
0.93085456,0.80771077,0.12314379,0.12314379,13.229113
