Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
7,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1544094996367698,-0.2374890891901169,-0.3415639173854165,-0.4887191064237423,0.7366522622108846,-0.6317236965479439
8,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1365272573431607,-0.2172405863326381,-0.3313333952287672,-0.4725856591528145,0.7389320251307073,-0.6347832758121534
9,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1387625376298619,-0.2179637471489768,-0.3324348519033784,-0.4645189355173506,0.7433972383816595,-0.640698462389625
10,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.146958565347766,-0.2237490336796849,-0.3367713692348245,-0.452418850064154,0.7494202354251865,-0.6485853778262534
11,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.17527211564598,-0.2468901798025177,-0.3518849289343249,-0.4282186791577623,0.75242848178872,-0.6525288355445676
12,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.4122118260362986,-0.4717931936837987,-0.4767414686121849,-0.3999851464336365,0.7528480102004994,-0.6530047700967779
13,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.869699191381127,-0.9056896834869136,-0.6928969937092445,-0.3435180809853893,0.7528057321434978,-0.6529707747716201
14,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8652286308077247,-0.8984580753235282,-0.6907437022220553,-0.3273846337144607,0.7513292523066936,-0.6513729944891997
15,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8443660147985144,-0.8724242859353413,-0.6812402889405866,-0.2951177391726044,0.7474104016385241,-0.6469536022186749
16,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8391503607962117,-0.8651926777719561,-0.678811213730361,-0.2830176537194085,0.7421906876780154,-0.6410724109663615
17,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8264837725049053,-0.847113657363493,-0.6728702825374522,-0.2507507591775522,0.7361026474698715,-0.6342393506096272
18,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.807856436782396,-0.8246956720569987,-0.6648650462399763,-0.2265505882711598,0.7314943392567623,-0.6285281359831031
19,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8540522293742191,-0.8818253765477422,-0.6861844426214835,-0.2951177391726051,0.7290519684253961,-0.6251965941176306
